algorithm,n,time_ns,comparisons,writes,allocations,max_depth,seed,case
mergesort,1000,209792,10413,17563,1,6,42,random
mergesort,1000,199958,10452,17594,1,6,43,random
mergesort,1000,219750,10431,17587,1,6,44,random
mergesort,1000,107417,10330,17462,1,6,45,random
mergesort,1000,49417,10388,17535,1,6,46,random
mergesort,2000,98875,22808,39090,1,7,42,random
mergesort,2000,121292,22701,38986,1,7,43,random
mergesort,2000,100417,22832,39156,1,7,44,random
mergesort,2000,202542,22752,39051,1,7,45,random
mergesort,2000,103916,22783,39059,1,7,46,random
mergesort,5000,283334,58948,109815,1,9,42,random
mergesort,5000,282250,59028,109847,1,9,43,random
mergesort,5000,313583,59012,109903,1,9,44,random
mergesort,5000,333959,59027,109943,1,9,45,random
mergesort,5000,307709,58936,109880,1,9,46,random
mergesort,10000,909208,128158,239972,1,10,42,random
mergesort,10000,515792,128407,240219,1,10,43,random
mergesort,10000,516166,128183,239921,1,10,44,random
mergesort,10000,555334,128066,239960,1,10,45,random
mergesort,10000,609042,127848,239617,1,10,46,random
mergesort,20000,1350750,276192,519745,1,11,42,random
mergesort,20000,1112833,276204,519944,1,11,43,random
mergesort,20000,2139208,276128,519895,1,11,44,random
mergesort,20000,1159042,276155,519868,1,11,45,random
mergesort,20000,1023333,276068,519711,1,11,46,random
mergesort,50000,2804917,772901,1431085,1,12,42,random
mergesort,50000,2791417,773920,1432053,1,12,43,random
mergesort,50000,2789542,773322,1431477,1,12,44,random
mergesort,50000,2721250,774020,1432187,1,12,45,random
mergesort,50000,2663709,774265,1432506,1,12,46,random
mergesort,100000,5705833,1646118,3062466,1,13,42,random
mergesort,100000,5703083,1648076,3064604,1,13,43,random
mergesort,100000,5730583,1647658,3064117,1,13,44,random
mergesort,100000,5808500,1648520,3064880,1,13,45,random
mergesort,100000,5876792,1648141,3064645,1,13,46,random
mergesort,200000,13377208,3494133,6526889,1,14,42,random
mergesort,200000,13499875,3496252,6528976,1,14,43,random
mergesort,200000,12489083,3495643,6528668,1,14,44,random
mergesort,200000,12896792,3495501,6528887,1,14,45,random
mergesort,200000,12536625,3495068,6527971,1,14,46,random
